*,"Sorry, I don't know that. You can ask me what I can do any time.",,
*,"Sorry, I haven't learned that yet. Thanks for being patient with me.",,
*,"Sorry, I don't know that.",,
*,"Sorry, I didn't get that.",,
,"Sorry, I didn't hear you.",,
,"Sorry, I didn't hear you. You can ask me what I can do any time.",,
Are you there?,"Yes, I'm here for you.",,
Are you there?,"Yes, I'm ready to help.",,
hi|hello|hey|howdy|yo|sup,"Hello! It's good to hear from you.",,
hi|hello|hey|howdy|yo|sup,"Hi! I'm listening.",,
hi|hello|hey|howdy|yo|sup,"Hi, how can I help you?",,
hi|hello|hey|howdy|yo|sup *,"Hello! It's good to hear from you.",,
hi|hello|hey|howdy|yo|sup *,"Hi! I'm listening.",,
hi|hello|hey|howdy|yo|sup *,"Hi, how can I help you?",,
help,"You can ask me to call an agent, or dial customer support at 858 876 2472",,
"Testing 1, 2, 3","4,5,6",,
"Testing 1, 2, 3",Ok. What now?,,
* nevermind,"OK",,
